0, 1, 2, 3, 4, 5, 6, 7, 8, 9, feasibility
0.0929005, 0.325247, 0.325057, -0.418074, -0.569455, 0.476887, 0.477145, 0.397113, 0.145225, 0.558138, no
0.0929263, 0.325217, 0.324302, -0.418176, -0.569144, 0.476819, 0.477404, 0.397802, 0.145786, 0.558165, yes
0.10187, 0.317808, 0.321568, -0.415928, -0.565831, 0.482008, 0.479125, 0.397611, 0.157798, 0.55436, no
0.111013, 0.317807, 0.333587, -0.407063, -0.563872, 0.482008, 0.469894, 0.406476, 0.189835, 0.545249, no
0.0847332, 0.332005, 0.335303, -0.416867, -0.570026, 0.472017, 0.469744, 0.398252, 0.144195, 0.559054, no
0.0861662, 0.330728, 0.333862, -0.417649, -0.569508, 0.473039, 0.469761, 0.397559, 0.14495, 0.558612, no
0.0823321, 0.334824, 0.336273, -0.415903, -0.570018, 0.470109, 0.468104, 0.399311, 0.14412, 0.558672, no
0.0812216, 0.33583, 0.338849, -0.415593, -0.570255, 0.469344, 0.466169, 0.399471, 0.144285, 0.559031, no
0.0816025, 0.334697, 0.336959, -0.417247, -0.570174, 0.470205, 0.467094, 0.39798, 0.144099, 0.559078, no
0.145047, 0.284188, 0.302528, -0.410187, -0.557963, 0.502564, 0.490039, 0.403352, 0.20156, 0.541024, no
0.104024, 0.315082, 0.320162, -0.417968, -0.567512, 0.482364, 0.479396, 0.397199, 0.153008, 0.556706, no
0.108429, 0.31077, 0.312468, -0.418938, -0.566835, 0.485924, 0.484855, 0.397126, 0.154702, 0.556225, yes
0.137327, 0.284188, 0.28831, -0.419213, -0.559741, 0.502564, 0.499883, 0.39592, 0.174583, 0.550322, no
0.1301, 0.290355, 0.289908, -0.420518, -0.562356, 0.498819, 0.499132, 0.395148, 0.165373, 0.552631, yes
0.136748, 0.284189, 0.286636, -0.419759, -0.559876, 0.502564, 0.501042, 0.395348, 0.172624, 0.550176, no
0.0937586, 0.323845, 0.325676, -0.418164, -0.568941, 0.477692, 0.476471, 0.397888, 0.147139, 0.558225, yes
0.0893335, 0.327909, 0.331615, -0.417816, -0.569678, 0.475133, 0.472548, 0.397344, 0.144974, 0.558852, no
0.0942297, 0.323838, 0.325059, -0.418074, -0.569142, 0.477793, 0.477144, 0.397113, 0.14674, 0.55812, no
0.101421, 0.316859, 0.317098, -0.418595, -0.567739, 0.482091, 0.48194, 0.396982, 0.15072, 0.556667, yes
0.117465, 0.302246, 0.307384, -0.416654, -0.56499, 0.491291, 0.487397, 0.396885, 0.165606, 0.552596, no
0.143286, 0.284188, 0.29995, -0.411908, -0.556956, 0.502564, 0.491824, 0.401631, 0.196869, 0.542002, no
0.0602107, 0.355418, 0.366311, -0.409575, -0.572333, 0.452741, 0.444963, 0.399887, 0.141737, 0.559682, no
0.0723569, 0.341254, 0.350738, -0.413993, -0.571321, 0.463229, 0.456664, 0.399546, 0.144242, 0.559042, no
0.115046, 0.302441, 0.300566, -0.421338, -0.565737, 0.491795, 0.491644, 0.39114, 0.150601, 0.555836, no
0.0646382, 0.352499, 0.349559, -0.415109, -0.573219, 0.45725, 0.457905, 0.399515, 0.129865, 0.560683, no
0.0844968, 0.332163, 0.333553, -0.417427, -0.570132, 0.471455, 0.470928, 0.39866, 0.142254, 0.559081, yes
0.0924296, 0.32576, 0.325483, -0.417876, -0.569586, 0.475994, 0.47666, 0.397478, 0.144508, 0.558704, no
0.0840502, 0.334584, 0.328891, -0.416827, -0.570405, 0.46923, 0.474515, 0.39829, 0.136224, 0.561049, no
0.080098, 0.342182, 0.367631, -0.404251, -0.5716, 0.464988, 0.445175, 0.412206, 0.146231, 0.558405, no
0.0971143, 0.323293, 0.330489, -0.416095, -0.569124, 0.478148, 0.473403, 0.399726, 0.150894, 0.557283, no
0.0817329, 0.335066, 0.337153, -0.417271, -0.570945, 0.469863, 0.468338, 0.39855, 0.140432, 0.559965, yes
0.0892623, 0.327783, 0.331785, -0.417807, -0.569233, 0.475212, 0.472418, 0.397353, 0.145094, 0.558821, no
0.0805712, 0.336719, 0.3359, -0.417373, -0.571541, 0.468668, 0.469528, 0.398803, 0.13851, 0.559854, yes
0.0655161, 0.359982, 0.322226, -0.422554, -0.573621, 0.450989, 0.479066, 0.392813, 0.0766394, 0.572241, no
0.0733012, 0.343127, 0.344329, -0.41629, -0.572313, 0.463798, 0.462884, 0.399713, 0.135912, 0.560959, yes
0.0923868, 0.32542, 0.325058, -0.418074, -0.56971, 0.475868, 0.477145, 0.397113, 0.144174, 0.558203, no
0.0932354, 0.324647, 0.323975, -0.418182, -0.569763, 0.476355, 0.477858, 0.397001, 0.144353, 0.558103, no
0.0607414, 0.35554, 0.349643, -0.415463, -0.573445, 0.45486, 0.459438, 0.400817, 0.126179, 0.561737, no
0.053324, 0.361356, 0.360335, -0.414779, -0.574503, 0.450163, 0.450699, 0.401472, 0.124608, 0.563181, yes
0.0481498, 0.364811, 0.364936, -0.413587, -0.575339, 0.44536, 0.447387, 0.396865, 0.117824, 0.56493, no
0.0437264, 0.367904, 0.365744, -0.413057, -0.575657, 0.44293, 0.446274, 0.401275, 0.119638, 0.563045, no
0.0175482, 0.391099, 0.373115, -0.415858, -0.577084, 0.424705, 0.440589, 0.392432, 0.0820599, 0.571489, no
0.0739804, 0.342139, 0.344266, -0.41506, -0.571185, 0.465053, 0.462186, 0.39724, 0.137245, 0.56008, no
0.0733422, 0.34197, 0.339669, -0.417043, -0.571239, 0.464847, 0.466408, 0.398928, 0.134785, 0.560016, no
0.0564298, 0.358121, 0.358974, -0.414875, -0.573659, 0.452406, 0.451679, 0.401174, 0.127338, 0.562755, yes
0.0727537, 0.342658, 0.341406, -0.416996, -0.571288, 0.46451, 0.464538, 0.398243, 0.135235, 0.560782, no
0.0482875, 0.364936, 0.364936, -0.414659, -0.575327, 0.447387, 0.447387, 0.397489, 0.118595, 0.564801, no
0.0276259, 0.369147, 0.362147, -0.424955, -0.576689, 0.443919, 0.448765, 0.383336, 0.0766395, 0.572241, no
0.00154327, 0.412615, 0.387547, -0.392971, -0.577093, 0.403834, 0.410124, 0.41532, 0.123054, 0.56403, no
0.039472, 0.373378, 0.362885, -0.402444, -0.570772, 0.434913, 0.431263, 0.409846, 0.142682, 0.555443, no
-3.95271e-09, 0.412615, 0.390996, -0.405982, -0.57735, 0.403834, 0.419305, 0.40863, 0.0914091, 0.565688, no
0.0224364, 0.389335, 0.384502, -0.411417, -0.576914, 0.426323, 0.430688, 0.404983, 0.10647, 0.565679, no
0.0304126, 0.381742, 0.381278, -0.412125, -0.576172, 0.432721, 0.433308, 0.403908, 0.112929, 0.565818, yes
0.0284766, 0.383318, 0.382671, -0.411881, -0.576647, 0.431066, 0.432315, 0.403191, 0.110504, 0.56615, no
1.3306e-07, 0.407551, 0.399942, -0.40792, -0.57735, 0.403286, 0.416389, 0.40037, 0.08206, 0.571489, no
0.0255691, 0.370449, 0.414552, -0.387567, -0.573089, 0.42478, 0.368563, 0.4243, 0.160013, 0.554733, no
0.0251416, 0.368234, 0.4266, -0.404601, -0.57316, 0.426679, 0.384255, 0.40369, 0.135441, 0.561239, no
0.0610672, 0.355748, 0.375433, -0.408009, -0.574112, 0.452482, 0.438615, 0.400281, 0.137683, 0.560693, no
0.0305099, 0.382283, 0.388611, -0.408964, -0.576544, 0.431632, 0.424119, 0.406762, 0.118639, 0.565029, no
0.03051, 0.381166, 0.386805, -0.411951, -0.576544, 0.43251, 0.428417, 0.40387, 0.114386, 0.565906, no
0.0351277, 0.376526, 0.381188, -0.41229, -0.575966, 0.436156, 0.433302, 0.403531, 0.117672, 0.565231, no
0.0342948, 0.377887, 0.378805, -0.413069, -0.576248, 0.435652, 0.434907, 0.403307, 0.115142, 0.564934, no
0.0272188, 0.383244, 0.389831, -0.410995, -0.576216, 0.430877, 0.424937, 0.403868, 0.113311, 0.566122, no
0.0220153, 0.3911, 0.403719, -0.404252, -0.576433, 0.424705, 0.409644, 0.412206, 0.120742, 0.564584, no
0.0314287, 0.380444, 0.382169, -0.412074, -0.576041, 0.433777, 0.432272, 0.403747, 0.114384, 0.565722, yes
0.0314571, 0.380503, 0.379067, -0.412996, -0.576334, 0.433605, 0.434618, 0.402433, 0.111963, 0.564119, no
